Sample_ID	Tree_genotype	Tree_provenance_pop	Tree_provenance_fam	Sampling_timepoint	Raw_reads	Filtered	Denoised	Merged	Non_chimeric	Non_mito_chlor	Non_syn_comm	No_unassigned	Final_reads_per_sample
RM10-7202-T2-ITS	7202	RM	RM10	T2	316848	275737	275371	274196	272411	217695	217695	217616	217616
RM10-7324-T2-ITS	7324	RM	RM10	T2	311553	272206	271709	269868	267683	217091	217091	217072	217072
RM10-7352-T2-ITS	7352	RM	RM10	T2	448751	390104	389645	381714	379016	326596	326596	326584	326584
RM10-7402-T2-ITS	7402	RM	RM10	T2	307018	259152	258815	253348	252475	157799	157799	157741	157741
RM3-7115-T2-ITS	7115	RM	RM3	T2	240766	206645	206263	205478	203985	184602	184602	184512	184512
RM3-7538-T2-ITS	7538	RM	RM3	T2	367060	319183	318858	312437	310188	269652	269652	269599	269599
RM3-7609-T2-ITS	7609	RM	RM3	T2	479394	412213	411717	408235	404175	344575	344575	344562	344562
RM3-7623-T2-ITS	7623	RM	RM3	T2	368623	310384	310010	303671	301868	263086	263086	263066	263066
RM4-7358-T2-ITS	7358	RM	RM4	T2	195933	168414	168147	166792	165502	136619	136619	136588	136588
RM4-7411-T2-ITS	7411	RM	RM4	T2	373022	331798	331496	322510	319569	278257	278257	278248	278248
RM4-7436-T2-ITS	7436	RM	RM4	T2	466955	391150	390527	388550	386208	289765	289765	288949	288949
RM4-7620-T2-ITS	7620	RM	RM4	T2	312878	264448	264189	257385	255649	226078	226078	226063	226063
RM6-7031-T2-ITS	7031	RM	RM6	T2	237631	211906	211743	207004	205646	178836	178836	178822	178822
RM6-7065-T2-ITS	7065	RM	RM6	T2	641687	558623	557804	549973	544953	453959	453959	453914	453914
RM6-7120-T2-ITS	7120	RM	RM6	T2	185671	155667	155288	153653	152605	134389	134389	131316	131316
RM6-7203-T2-ITS	7203	RM	RM6	T2	537522	483687	483059	467477	462241	430406	430406	430135	430135
AC1-7050-T3-ITS	7050	AC	AC1	T3	360562	314786	314242	312382	308472	284416	284416	284155	284155
AC1-7230-T3-ITS	7230	AC	AC1	T3	404292	326812	326177	324135	319856	269375	269375	269165	269165
AC1-7329-T3-ITS	7329	AC	AC1	T3	271500	231268	230684	229803	229021	178377	178377	177820	177820
